Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,1136.0,18.0,110.0,1136.0,0.1,86.80499999999998,0.0,0.0,104.94295406341553,,,,,,,,,,,,,,,,,,,,,35.440992524027465,26.57210445695377,83.07255285551517,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1182.0,19.0,46.0,1182.0,0.1,27.80600000000002,0.0,0.0,109.49163675308228,,,,,,,,,,,,,,,,,,,,,9.523690127271616,9.338522494714294,27.422728287993205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1228.0,20.0,46.0,1228.0,0.1,20.21000000000003,0.0,0.0,114.11066031455994,,,,,,,,,,,,,,,,,,,,,5.477879415280384,6.557753561051089,19.99799353597552,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,45.0,1.0,45.0,1273.0,0.1,21.806000000000026,0.0,0.0,231.31206941604614,,,,,,,,,,,,,,,,,,,,,6.480030182672109,7.1069547548908965,21.557492068424537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,87.0,2.0,42.0,1315.0,0.1,24.70700000000002,0.0,0.0,235.68926811218262,,,,,,,,,,,,,,,,,,,,,8.288725707892926,8.399564510666922,24.40766444148703,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,124.0,3.0,37.0,1352.0,0.1,18.80600000000002,0.0,0.0,239.58078026771545,,,,,,,,,,,,,,,,,,,,,5.8818021292178795,6.289727114688813,18.62560590742789,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,163.0,4.0,39.0,1391.0,0.1,16.30700000000001,0.0,0.0,243.6565637588501,,,,,,,,,,,,,,,,,,,,,4.419757070337137,5.285134706499416,16.16694720171308,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,231.0,5.0,68.0,1459.0,0.1,40.80799999999999,0.0,0.0,250.48324489593506,,,,,,,,,,,,,,,,,,,,,15.929616317472998,13.134124837005992,39.80435499604893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,269.0,6.0,38.0,1497.0,0.1,21.70700000000002,0.0,0.0,254.36958813667297,,,,,,,,,,,,,,,,,,,,,7.151880632707087,7.457409718642029,21.478163384562876,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,387.0,7.0,118.0,1615.0,0.1,68.80799999999996,0.0,0.0,265.2212464809418,,,,,,,,,,,,,,,,,,,,,27.622711904393125,21.19462969786521,65.67981394335438,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,432.0,8.0,45.0,1660.0,0.1,25.30600000000002,0.0,0.0,269.69904613494873,,,,,,,,,,,,,,,,,,,,,8.378647351827505,8.373847356499708,24.978893677629344,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,502.0,9.0,70.0,1730.0,0.1,46.306,0.0,0.0,276.74875593185425,,,,,,,,,,,,,,,,,,,,,17.956055676514392,14.659172946819144,45.1393095824994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,548.0,10.0,46.0,1776.0,0.1,25.605000000000015,0.0,0.0,281.4393582344055,,,,,,,,,,,,,,,,,,,,,9.794924692051314,8.12019114847617,25.204817895138017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,589.0,11.0,41.0,1817.0,0.1,21.90700000000002,0.0,0.0,285.6862487792969,,,,,,,,,,,,,,,,,,,,,6.866102348614224,7.3934924479454684,21.668805746393858,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,664.0,12.0,75.0,1892.0,0.1,40.407000000000004,0.0,0.0,292.88055753707886,,,,,,,,,,,,,,,,,,,,,14.577547322529963,12.677285936093664,39.39242941721526,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,743.0,13.0,79.0,1971.0,0.1,55.206999999999994,0.0,0.0,300.4646956920624,,,,,,,,,,,,,,,,,,,,,22.200206218369296,17.581668602102106,53.56025064979778,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,806.0,14.0,63.0,2034.0,0.1,31.710000000000036,0.0,0.0,306.82059931755066,,,,,,,,,,,,,,,,,,,,,9.16799754722837,10.263285182433293,31.19477450876764,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,868.0,15.0,62.0,2096.0,0.1,39.007,0.0,0.0,312.9660198688507,,,,,,,,,,,,,,,,,,,,,13.745444968983383,12.796600638072022,38.23120659390426,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,909.0,16.0,41.0,2137.0,0.1,20.90600000000002,0.0,0.0,317.28681898117065,,,,,,,,,,,,,,,,,,,,,6.546749763111679,6.894641415744717,20.67892042163527,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,994.0,17.0,85.0,2222.0,0.1,37.20800000000002,0.0,0.0,325.3544476032257,,,,,,,,,,,,,,,,,,,,,14.095253257821277,10.33911114780016,36.08203145396167,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,1033.0,18.0,39.0,2261.0,0.1,17.009000000000025,0.0,0.0,329.7543284893036,,,,,,,,,,,,,,,,,,,,,4.643765920649066,5.613655492269787,16.86159946642808,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1065.0,19.0,32.0,2293.0,0.1,15.304999999999994,0.0,0.0,333.07021594047546,,,,,,,,,,,,,,,,,,,,,4.719548958983058,5.130840682343479,15.184327904794229,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1097.0,20.0,32.0,2325.0,0.1,17.106000000000016,0.0,0.0,336.488050699234,,,,,,,,,,,,,,,,,,,,,5.5367197772741275,5.89006317698314,16.96273347133643,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,38.0,1.0,38.0,2363.0,0.1,21.607000000000017,0.0,0.0,467.3868329524994,,,,,,,,,,,,,,,,,,,,,7.151231879442578,7.378509030777685,21.37798778616573,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,121.0,2.0,83.0,2446.0,0.1,54.607,0.0,0.0,475.2622377872467,,,,,,,,,,,,,,,,,,,,,21.051724062362258,17.194702835430057,52.96558510745371,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,167.0,3.0,46.0,2492.0,0.1,29.206000000000017,0.0,0.0,479.9590699672699,,,,,,,,,,,,,,,,,,,,,10.35370974435303,9.850954679326263,28.787275114714078,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,220.0,4.0,53.0,2545.0,0.1,25.30700000000002,0.0,0.0,485.525395154953,,,,,,,,,,,,,,,,,,,,,8.376100044200486,7.8226324342571045,24.912867519829508,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,255.0,5.0,35.0,2580.0,0.1,15.506999999999993,0.0,0.0,489.1857650279999,,,,,,,,,,,,,,,,,,,,,4.365427355120224,5.166336929788388,15.384964586779766,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,297.0,6.0,42.0,2622.0,0.1,21.00600000000002,0.0,0.0,493.67265129089355,,,,,,,,,,,,,,,,,,,,,6.4752433743340365,6.89692176182365,20.775570142993814,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,438.0,7.0,141.0,2763.0,0.1,48.00800000000008,0.0,0.0,506.6603989601135,,,,,,,,,,,,,,,,,,,,,16.457272970527374,12.359202578251818,45.77903680573034,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,508.0,8.0,70.0,2833.0,0.1,42.206,0.0,0.0,513.4333295822144,,,,,,,,,,,,,,,,,,,,,15.274097855378857,13.331277609243868,41.21921035161634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,562.0,9.0,54.0,2887.0,0.1,29.408000000000023,0.0,0.0,518.953946352005,,,,,,,,,,,,,,,,,,,,,10.128721737750773,9.480520097303613,28.918857822949526,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,644.0,10.0,82.0,2969.0,0.1,50.007,0.0,0.0,526.6704494953156,,,,,,,,,,,,,,,,,,,,,20.0865437761841,16.319123979715048,48.45676849056556,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,754.0,11.0,110.0,3079.0,0.1,63.40600000000003,0.0,0.0,537.0482950210571,,,,,,,,,,,,,,,,,,,,,23.327537469886845,17.752181269808364,60.96183358364617,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,789.0,12.0,35.0,3114.0,0.1,17.706000000000017,0.0,0.0,540.8002812862396,,,,,,,,,,,,,,,,,,,,,5.573056775917615,5.942110355629746,17.54601750182905,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,836.0,13.0,47.0,3161.0,0.1,20.10700000000003,0.0,0.0,545.8349640369415,,,,,,,,,,,,,,,,,,,,,5.511733095767338,6.381414443516425,19.88770406492472,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,864.0,14.0,28.0,3189.0,0.1,12.605999999999995,0.0,0.0,548.9052424430847,,,,,,,,,,,,,,,,,,,,,3.7793402948360884,4.283877325124042,12.525216379286787,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,933.0,15.0,69.0,3258.0,0.1,33.50900000000001,0.0,0.0,555.6173853874207,,,,,,,,,,,,,,,,,,,,,9.623230250879098,10.576898845539976,32.91078577345046,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
